age,workclass,education,marital,occupation,relationship,race,gender,income
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Not-in-family,Black,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Separated,Random7,Not-in-family,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Other-relative,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,Black,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Separated,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Black,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Black,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Widowed,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Separated,Random7,Not-in-family,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Unmarried,Amer-Indian-Eskimo,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Widowed,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Widowed,Random7,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Black,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Asian-Pac-Islander,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,Black,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Separated,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,Black,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Widowed,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,Amer-Indian-Eskimo,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Separated,Random7,Unmarried,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Amer-Indian-Eskimo,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Other-relative,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Separated,Random7,Unmarried,Black,Female,<=50K
17-90,Random2,Random4,Widowed,Random7,Not-in-family,Black,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,Asian-Pac-Islander,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,White,Female,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,Black,Female,<=50K
17-90,Random2,Random4,Widowed,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Black,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Widowed,Random7,Unmarried,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Other,Male,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Other-relative,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Amer-Indian-Eskimo,Male,<=50K
17-90,Random2,Random4,Widowed,Random7,Other-relative,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,Asian-Pac-Islander,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Asian-Pac-Islander,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Asian-Pac-Islander,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,Black,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Black,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Asian-Pac-Islander,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Other-relative,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Female,>50K
17-90,Random2,Random4,Divorced,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Other-relative,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Not-in-family,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,Black,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Divorced,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,Asian-Pac-Islander,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Not-in-family,Asian-Pac-Islander,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,Black,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Separated,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-spouse-absent,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Unmarried,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Female,<=50K
17-90,Random2,Random4,Divorced,Random7,Unmarried,White,Female,<=50K
17-90,Random2,Random4,Never-married,Random7,Not-in-family,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Wife,White,Female,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,<=50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Married-civ-spouse,Random7,Husband,White,Male,>50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
17-90,Random2,Random4,Never-married,Random7,Own-child,White,Male,<=50K
